id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
11014,7084368,Comfy Bed in Clinton Hill Loft,92363377198,unconfirmed,Hannah,Brooklyn,Bedford-Stuyvesant,40.6924,-73.96042,United States,US,TRUE,flexible,Shared room,2019,$144 ,$29 ,8,41,2/26/2019,0.89,2,4,76,1) We live in a quiet neighborhood so no loud noise after 10:00 pm.  2) No outside guests after 10:00 pm. 3) No overnight guests not listed on the reservation.,
48516,27796723,Manhattan On The Hill,94204075211,unconfirmed,Denise,Manhattan,Inwood,40.8683,-73.92161,United States,US,TRUE,flexible,Entire home/apt,2005,$794 ,$159 ,2,0,,,5,1,365,,
96432,54260730,LG Private Room for (3). Metro less than 5 mins.,13928529193,unconfirmed,Mike,Manhattan,East Harlem,40.798,-73.93944,United States,US,FALSE,strict,Private room,2022,$307 ,$61 ,7,0,,,4,3,358,,
16627,10184428,Elgant double bed room in Brooklyn.,53011370599,unconfirmed,Jean&  Toney,Brooklyn,Canarsie,40.6413,-73.90303,United States,US,FALSE,moderate,Private room,2009,$675 ,$135 ,2,1,6/23/2016,0.03,1,3,249,,
75706,42813760,Furnished Bedroom in House w/ LAUNDRY & GARDEN,59411066308,verified,Ryan,Brooklyn,Bedford-Stuyvesant,40.68956,-73.9432,United States,US,TRUE,strict,Private room,2008,$331 ,$66 ,3,6,6/29/2019,2.77,5,1,0,,
26366,15563278,Vics cafe,65056745943,verified,Victor,Queens,Queens Village,40.72517,-73.76105,United States,US,TRUE,strict,Shared room,2009,$955 ,$191 ,1,11,06-03-2019,0.51,3,2,125,I expect you to keep the apartment picked up and left how it was when you arrived.,
86527,48790198,Budget Room in large apartment (Solo Travelers+),63138618800,unconfirmed,Vernon,Bronx,Fordham,40.85927,-73.90142,United States,US,TRUE,strict,Private room,2020,"$1,132 ",$226 ,21,23,2/28/2019,0.61,1,2,320,"Before checking out, please: 1. Take out trash (basement level, back door - red dumpsters) 2. Wash dishes and put in dishrack 3. Return keys to the lockbox by 12 noon (unless we made other arrangements)",
43543,25050135,,41613448743,verified,Donal,Brooklyn,Boerum Hill,40.68727,-73.98956,United States,US,TRUE,strict,Entire home/apt,2008,"$1,126 ",$225 ,2,1,6/25/2019,1,2,1,5,"Please plan to check in after 4 PM and check out before 11 AM.  No Smoking, No pets Please No parties and quiet hours after 9 pm Clean dishes   We are not responsible for your belongings. Thank You!",
64018,36358477,MESSAGE FOR BEST RATES | Stellar City Studio in Marriott Vacation Club Pulse New York City,17235050904,unconfirmed,Marc,Manhattan,Midtown,40.751297,-73.984818,United States,US,FALSE,flexible,Private room,2008,$501 ,$100 ,1,1,09-06-2021,0.17,5,4,360,,
55400,31598756,Pristine garden flat - 40 min to midtown Manhattan,381411372,verified,Shaffiq,Brooklyn,East Flatbush,40.64039,-73.95063,United States,US,FALSE,flexible,Entire home/apt,2012,$212 ,$42 ,30,2,02-06-2022,1.71,3,2,266,,
7923,5377209,Home On Kissena Park in Flushing NYC,75405549126,verified,Ann,Queens,Flushing,40.74896,-73.80715,United States,US,FALSE,flexible,Entire home/apt,2017,"$1,131 ",$226 ,2,74,5/28/2019,1.46,3,6,292,,
35018,20341777,Christina’s home,89461531863,verified,Christina,Bronx,Bronxdale,40.8546,-73.86785,United States,US,TRUE,moderate,Private room,2003,$124 ,$25 ,1,24,6/27/2019,2.24,4,1,163,"For non-smokers only, quiet, respectful, persons.",
102246,13972102,Central Manhattan Apt,61758503744,verified,Peter,Manhattan,Kips Bay,40.74214,-73.98048,United States,US,FALSE,strict,Private room,2022,$917 ,$183 ,7,1,12/22/2018,0.15,2,1,332,"Building is quite, so that's the expectation.",
101721,57181844,Awesome Manhattan Midtown Apartment,25015874688,verified,Wenli,Manhattan,Roosevelt Island,40.76253,-73.95001,United States,US,FALSE,flexible,Entire home/apt,2003,$683 ,$137 ,2,9,8/27/2017,0.32,2,1,0,Quiet after 11pm.  Other guests sleeping.,
101906,57284020,MY ROOM/COFFEE &BAGEL,34566737260,verified,Carol,Manhattan,East Village,40.72521,-73.97879,United States,US,FALSE,moderate,Private room,2021,$815 ,$163 ,6,30,04-01-2019,1.08,4,3,43,This is a non smoking house.  Quiet hours are from 10pm until 8am.  Cars must be parked within fence so as not to block neighbors driveway.  One parking spot only per room. Please don't use the kitchen for cooking as cleanliness becomes difficult to maintain with the velocity of guests that we host.   Please place dirty dishes in the dishwasher unless it’s full of clean dishes!,
18854,11414400,Bright cozy room with balcony near Prospect Park.,22495257564,unconfirmed,Gracelyn,Brooklyn,Windsor Terrace,40.65949,-73.98422,United States,US,TRUE,moderate,Private room,2012,"$1,056 ",$211 ,2,3,10/21/2017,0.11,3,2,0,*No additional guest are to stay/visit besides pre-approved guests.  *Please do not drink my wine.,
38336,22174309,*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite  #2,78750300857,unconfirmed,Red Awning,Manhattan,Midtown,40.75403,-73.96714,United States,US,FALSE,strict,Entire home/apt,2021,$74 ,$15 ,28,0,,,3,49,250,,
7307,5036992,Homey Well-Located Apartment!,83557793388,unconfirmed,Michelle,Manhattan,Gramercy,40.73554,-73.98855,United States,US,FALSE,moderate,Entire home/apt,2014,$964 ,$193 ,2,16,09-03-2016,0.31,2,1,31,,
8777,5848873,Sunny & Happy Room in Williamsburg,12775802004,unconfirmed,Sandy,Brooklyn,Williamsburg,40.71676,-73.9439,United States,US,TRUE,strict,Private room,2017,"$1,003 ",$201 ,2,99,6/16/2019,2.02,5,2,405,"1. NO SHOES IN THE HOUSE. Please, leave them behind the door 2. Please make sure that all the doors are     locked behind you when you leave 3. NO SMOKING, ABSOLUTELY NO DRUGS,     NO excessive alcohol consumption 4. Please, keep the noise level to the minimum       from 10pm to 8am  5. No parties. Please no unauthorized guests. Only checked in guests are allowed on the property 6. Be respectful to our neighbors  7. If you have any questions about anything     please ask freely, I am always happy to help     and make your stay pleasant. ENJOY!",
2445,2351710,Newly Renovated West Village Privat,61099450003,verified,Karim,Manhattan,Flatiron District,40.74389,-73.99159,United States,US,TRUE,moderate,Private room,2006,"$1,174 ",$235 ,1,17,9/27/2016,0.25,1,1,392,-No shoes (leave at the entrance door) -No loud noises after 10 pm -No bike -NO SMOKERS/SMOKING/DRUG USE,
20586,12370984,Midtown Loft,56579303245,verified,Lou,Manhattan,Midtown,40.75092,-73.98636,United States,US,FALSE,strict,Entire home/apt,2017,$660 ,$132 ,2,5,4/16/2017,0.16,1,1,0,* No smoking * No pets * No loud music,
71184,40316259,Museum Mile Central Pk- Madison Ave,54083537050,unconfirmed,Lynne,Manhattan,Upper East Side,40.77648,-73.96126,United States,US,FALSE,flexible,Entire home/apt,2015,$525 ,$105 ,4,10,5/28/2019,0.17,3,1,348,,
77524,43817841,Private Sunny Lofted Bedroom in East Williamsburg,94084181260,unconfirmed,Diana,Brooklyn,Williamsburg,40.71416,-73.93852,United States,US,FALSE,strict,Private room,2022,"$1,133 ",$227 ,21,13,05-07-2019,0.42,1,1,26,"No shoes in the apartment, please",
26353,15556098,"Luxury in Brooklyn Brownstone, Close to Metro!!!",64292798014,unconfirmed,Rohit,Brooklyn,Bedford-Stuyvesant,40.68884,-73.92958,United States,US,TRUE,moderate,Entire home/apt,2021,"$1,064 ",$213 ,3,99,6/22/2019,4.79,3,2,288,No Smoking  No Pets,
39582,22862475,Double Double Room · Empire CIty New York,2109820942,verified,Gabriel,Manhattan,Hell's Kitchen,40.75467,-73.99657,United States,US,FALSE,flexible,Private room,2014,$164 ,$33 ,1,4,1/20/2019,0.61,3,30,363,"We live on the premises - two women,  two dogs and a cat. We are a strictly NON-SMOKING household - this includes all smokeable substances. We tend to stay up late, so late arrivals to about 11 pm or so are OK. We can arrange for a later check-in via a key box, but we may not meet you in person until the next morning. Check-in is after 5 pm except by prior arrangement, and checkout is at 11 am promptly to allow time for the unit to be cleaned before the next guest. This is a quiet residential neighborhood so please, no parties or loud music. There is door from the 3rd floor onto the roof as a safety exit, but the rubber roof is very delicate.  If you are tempted to walk out on the roof, please do so in your bare feet only.  There is no railing for the roof.  Under no circumstances may children access the roof. Thank you for not smoking any substance on the roof, on the deck or anywhere on the premises.",
50142,28694763,Lovely Brooklyn LOFT in prime Williamsburg,59188523083,verified,Benjamin,Brooklyn,Williamsburg,40.71911,-73.96041,United States,US,FALSE,moderate,Entire home/apt,2019,$861 ,$172 ,30,1,03-01-2022,1,2,1,30,,
89225,50280304,Cozy room in Sunnyside Gardens (near Manhattan),98064241807,unconfirmed,Lidia,Queens,Sunnyside,40.74693,-73.91896,United States,US,TRUE,flexible,Private room,2019,$482 ,$96 ,3,9,06-09-2019,0.49,5,4,365,Our community is very quiet!! No parties please. That is what Newbury and Boylston Street are for. LOL,
96414,54250788,Cozy studio at UWS near Columbia university,21710754383,verified,Yooin,Manhattan,Morningside Heights,40.80998,-73.95756,United States,US,TRUE,strict,Entire home/apt,2019,$348 ,$70 ,1,25,6/25/2019,2.07,4,1,0,,
62632,35592990,Beautiful King Bed Hotel Room!,47431491045,verified,Justin,Manhattan,Financial District,40.70449,-74.00565,United States,US,FALSE,flexible,Private room,2004,"$1,054 ",$211 ,1,15,11-06-2021,1.11,4,102,23,,
75209,42539267,Large Chelsea Bedroom!,69299242626,verified,Lennon,Manhattan,Chelsea,40.74216,-73.99962,United States,US,FALSE,moderate,Private room,2005,$564 ,$113 ,1,1,04-10-2019,0.33,5,2,0,,
33346,19418332,"Gorgeous One-Bed in Williamsburg, BK",10293562829,verified,Janie,Brooklyn,Williamsburg,40.71239,-73.96775,United States,US,TRUE,flexible,Entire home/apt,2003,$851 ,$170 ,10,1,08-08-2018,0.09,5,1,0,"Keep the place in the same condition as upon arrival. Be yourself, but please no wild parties, thanks :)",
18506,11222200,Beautifull Studio Apt. by Central Park,57917199663,verified,Kara,Manhattan,Midtown,40.76641,-73.98163,United States,US,FALSE,strict,Entire home/apt,2018,$181 ,$36 ,30,0,,,3,121,189,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",
44931,25816727,Penn room 14,75842907482,verified,Aminul,Brooklyn,East New York,40.66814,-73.8953,United States,US,TRUE,moderate,Private room,2006,"$1,178 ",$236 ,7,2,06-01-2019,1.2,5,13,258,I would rather than you not have lots of people over (and honestly the space isn't set up for/big enough for that anyway) and ask that you respect that space :),
79547,44935144,Access to NYC,95999552129,unconfirmed,Roland,Queens,Jamaica,40.6987,-73.78455,United States,US,TRUE,flexible,Private room,2012,$141 ,$28 ,1,38,5/30/2019,1.41,1,3,359,,
53521,30560984,UNTITLED at Freeman - Tower Balcony Studio 1404,36785578421,verified,Karen,Manhattan,Lower East Side,40.72075,-73.99366,United States,US,TRUE,moderate,Entire home/apt,2010,$251 ,$50 ,2,30,2/17/2022,4.05,4,208,152,,
20710,12439469,Private Studio Apartment close to ferry and subway,37779770944,unconfirmed,Conor,Brooklyn,Greenpoint,40.73203,-73.95572,United States,US,TRUE,flexible,Entire home/apt,2012,$201 ,$40 ,3,69,6/13/2019,2.25,1,1,0,"- - NO PETS!  NO SMOKING ON PREMISES! NO PARTY! A printed house rule will be provided. Please be respectful to others when all rooms are booked. 10 AM Check-out and Check-in is between 12 PM (noon) - 3 PM.   Late check in after 8 pm is $50, lock out is $50. Respect yourself, Respect others, clean up after yourself.  No Smoking/drinking in apt.  Thank You!  Location Rules: The ""Exact Address Location Is Not Disclosed For Security Reasons"" And Is Given Out 24 Hours Prior to Check-in.  If This Is a Problem for You, Please STOP Here And Contact Other Hosts for Your Stay.   This Is a Part Of My House Rules.",
82140,46367258,HEART of MANHATTAN,9651621915,unconfirmed,Lara,Manhattan,Hell's Kitchen,40.76764,-73.98468,United States,US,TRUE,strict,Private room,2015,$837 ,$167 ,2,3,5/20/2018,0.19,4,3,239,,
43829,25208093,Location! Room in Bklyn 10 minutes to Manhattan U2,38634704902,unconfirmed,Bela & Gui,Brooklyn,Bedford-Stuyvesant,40.69806,-73.94544,United States,US,TRUE,strict,Private room,2013,$623 ,$125 ,1,9,6/24/2019,3.8,2,6,105,#NAME?,
96991,54569465,Colorful and Sunlit Bushwick!,58022020065,verified,Kat,Brooklyn,Bushwick,40.70506,-73.91731,United States,US,FALSE,strict,Entire home/apt,2019,$387 ,$77 ,2,9,6/16/2019,0.77,4,1,0,,
24742,14666343,Cozy bedroom in East Williamsburg loft.,2258719152,unconfirmed,Ariel,Brooklyn,Williamsburg,40.71729,-73.9453,United States,US,TRUE,flexible,Private room,2019,$639 ,$128 ,3,1,7/27/2017,0.04,5,1,67,"No smoking inside the apartment. Please respect the space, and quiet hours 10pm-6am. Love pets, but we cannot allow them in the building. I do ask that you do not leave lights and/or AC unit on all day or while you are not at the apartment to save some electricity. If you use the kitchen, please tidy up after yourself by wiping down counters, putting dishes in the dishwasher, and cleaning any messes with supplies underneath the kitchen sink.",
33790,19663553,Simple + Cute + Spacious Studio (perfect for 1-2),58874557502,unconfirmed,Yeena,Manhattan,Upper West Side,40.7862,-73.98089,United States,US,TRUE,strict,Entire home/apt,2017,"$1,057 ",$211 ,3,6,6/23/2019,0.57,3,1,0,,
46680,26782700,Beautiful apartment in the heart of West Village!,67461697050,verified,Ibrahim Ali,Manhattan,West Village,40.73168,-74.00195,United States,US,FALSE,strict,Entire home/apt,2003,$404 ,$81 ,3,2,6/28/2019,2,3,1,195,,
20738,12454933,Bedroom in East Williamsburg!,61853668230,unconfirmed,Brian,Brooklyn,Williamsburg,40.70899,-73.94063,United States,US,TRUE,moderate,Private room,2003,$204 ,$41 ,5,0,,,1,2,0,"We have ample off-street parking but if you have a car let us know and we will be in touch with you about parking. Please be careful not to drive or walk in the driveway for 233 Savin Hill Avenue. Check in time is 2 PM, check out time is 10 AM.  Guests who arrive early can drop off their luggage after 10 AM. We are unable to accommodate arrivals earlier than 10 AM.  Guests who need to stay after the check out time are welcome to use the common area on the first floor for luggage storage. NO SMOKING in the house or anywhere on the property. No Pets.",
11901,7574258,1 bed/bath w/ Cali King bed- duplex,11090655499,verified,Deena,Manhattan,Upper West Side,40.79355,-73.96641,United States,US,TRUE,strict,Private room,2012,$951 ,$190 ,5,0,,,2,1,406,"There are two other units in this building, quiet, clean and respectful of neighbors is all we request. Regrets, no pets and no smoking.",
63688,36176218,Chic Studio Downtown BK: 910,33489098314,verified,SoCo Property,Brooklyn,Fort Greene,40.6892,-73.98101,United States,US,FALSE,strict,Entire home/apt,2016,$609 ,$122 ,3,5,9/26/2021,0.91,5,4,30,,
84833,47854602,Quiet Chelsea One Bedroom,72171072603,verified,Stephan And Liz,Manhattan,Chelsea,40.73911,-74.00047,United States,US,FALSE,moderate,Entire home/apt,2006,$814 ,$163 ,30,87,06-08-2019,2.17,3,1,200,"Quiet, residential. No smoking. No pets",
11690,7457723,"Open, private room, Central Harlem",90925084744,unconfirmed,Shawn,Manhattan,Harlem,40.80891,-73.94113,United States,US,TRUE,strict,Private room,2016,"$1,119 ",$224 ,1,3,10/22/2017,0.07,3,1,381,*No additional guest are to stay/visit besides pre-approved guests.  *Please do not drink my wine.,
91700,51647246,"Cute apartment, Washington Sq Park!",57754778741,unconfirmed,Max,Manhattan,Greenwich Village,40.73104,-73.99831,United States,US,FALSE,flexible,Private room,2013,"$1,065 ",$213 ,3,1,3/21/2017,0.04,5,1,0,,
66066,37489588,Large Studio in the heart of East Village,3764553217,unconfirmed,Marian,Manhattan,East Village,40.72924,-73.98443,United States,US,FALSE,flexible,Entire home/apt,2007,$707 ,,30,2,02-01-2021,0.07,5,1,0,,
47220,27080942,"Delightful, Spacious Ditmas Park One Bedroom",20354816160,unconfirmed,Lily,Brooklyn,Flatbush,40.64151,-73.96104,United States,US,TRUE,flexible,Entire home/apt,2014,$470 ,$94 ,2,0,,,4,1,10,#NAME?,
38961,22519496,Lower East Side Tenement Get Away,15265284310,unconfirmed,Brett,Manhattan,Lower East Side,40.71357,-73.98553,United States,US,FALSE,moderate,Private room,2005,$637 ,$127 ,6,1,01-06-2019,0.16,4,1,0,"Please, no smoking and /or parties. This is my home, I would like my home to be treated with the utmost care and respect by all the wonderful individuals I host as a member of the Air BnB network. Thank you!",
101696,57168037,Beautiful Sunlit Retreat in Manhattan,34915260182,verified,BeautifulHarlem,Manhattan,Harlem,40.81961,-73.94583,United States,US,TRUE,strict,Entire home/apt,2012,$268 ,$54 ,2,145,6/23/2019,5,2,2,127,"No pets No Smoking indoors Please be respectful of my neighbors both inside and outside my home. This means limiting noise after hours, avoiding playing loud music, etc. Please clean up and take out the trash when you leave",
58889,33525731,Two Bedrooms Tonhouse,28084165571,unconfirmed,Sergo,Manhattan,Harlem,40.80663,-73.94609,United States,US,FALSE,strict,Entire home/apt,2018,$521 ,$104 ,1,86,01-02-2022,2.38,5,2,345,,
14023,8746239,Brick Wall Charmer in Kips Bay,53502237805,verified,Lev,Manhattan,Kips Bay,40.7388,-73.98024,United States,US,FALSE,flexible,Entire home/apt,2005,$458 ,$92 ,1,0,,,2,1,127,No pets and no smoking. Please remove your shoes when entering. We have very sensitive floors and would like to keep them looking new ;),
25382,15019815,"Quiet,Comfy&Spacious Room near F/G train",29327698449,unconfirmed,Qingming,Brooklyn,Kensington,40.6421,-73.98171,United States,US,TRUE,flexible,Private room,2017,$924 ,$185 ,2,14,06-01-2019,0.6,3,4,180,,
73562,41629629,Beautiful 1 BD Apt in Upper West Manhattan,46368914144,unconfirmed,דניאל,Manhattan,Morningside Heights,40.80454,-73.9645,United States,US,FALSE,moderate,Private room,2007,$799 ,$160 ,1,2,12/24/2018,0.16,3,1,0,,
76968,43510762,5 Star Luxury Suite Heart of Manhattan,80183812991,unconfirmed,Alyssa,Manhattan,Midtown,40.76042,-73.97345,United States,US,FALSE,strict,Entire home/apt,2013,$678 ,$136 ,1,12,5/22/2019,0.39,4,6,365,,
5000,3762836,Jackson Stayover Apt,9209472822,unconfirmed,Adriana,Queens,St. Albans,40.69283,-73.75828,United States,US,FALSE,flexible,Entire home/apt,2018,$598 ,$120 ,2,81,6/27/2019,1.35,4,1,270,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",
53013,30280416,"Dreamy, Charming and Modern townhouse w/ backyard",87473103164,unconfirmed,Angi,Bronx,Mott Haven,40.81164,-73.91885,United States,US,FALSE,strict,Private room,2011,"$1,173 ",$235 ,1,5,2/20/2022,2.46,2,8,156,,
24956,14784535,Brand New Williamsburg Room!,16549597665,verified,Georgie,Brooklyn,Greenpoint,40.72612,-73.95419,United States,US,FALSE,moderate,Private room,2009,"$1,013 ",$203 ,1,0,,,5,1,0,"- Non-smoker - No cologne/perfumed spray use - Please take shower before bed to avoid morning rush - Take off street shoes and place on rack, - Please bring slippers or ask me for a pair - Recycling and reusable shopping bag use (provided) - Limit things to bring in: 1-2 suitcases OK - Mailing address not to be shared with anyone; you will be charged $200 if you do",
102414,20378229,Morningside Heights Cozy & Clean Modern Apt.,20091049290,verified,Krystalee,Manhattan,Harlem,40.80624,-73.95622,United States,US,TRUE,moderate,Private room,2017,$500 ,$100 ,1,1,8/31/2018,0.1,3,1,0,"Respect yourself, respect others, clean up after yourself, no smoking in house, no partying.  late check in after 9p.m. and before 9 a.m is $50, lock out is $50 thank you ",
57971,33018719,Cute shared studio apartment,55511429933,unconfirmed,Christopher,Manhattan,East Harlem,40.79016,-73.95092,United States,US,FALSE,moderate,Shared room,2018,$720 ,$144 ,3,128,01-05-2022,1.24,3,1,345,,
42693,24580680,New Luxury Brooklyn Apartment Near Manhattan,86466160851,verified,Jon,Brooklyn,Crown Heights,40.6704,-73.95038,United States,US,TRUE,strict,Entire home/apt,2010,"$1,193 ",$239 ,2,7,5/27/2019,2.5,2,1,0,,
83896,47337097,Private Room in Bushwick Apartment,26875201711,verified,Natalie,Brooklyn,Williamsburg,40.70796,-73.92412,United States,US,TRUE,strict,Private room,2010,$425 ,$85 ,2,3,5/30/2019,1.55,4,1,73,,
80190,45290273,East Village Studio Apartment,30810855850,verified,Patrick,Manhattan,East Village,40.7241,-73.98959,United States,US,FALSE,flexible,Entire home/apt,2012,"$1,181 ",$236 ,7,9,11-05-2018,0.35,3,1,0,"No pets, no smoking, no parties.  No guests not on the reservation.  You are liable for any damage. Please do NOT move the furniture we've had damage in the past because of this.  If you need to move anything for a reason please ask. We will give you access to Netflix.  Please respect the account. Please report anything broken at the beginning of your reservation to avoid the loss of your security deposit.  Clean all your dishes and clean up after yourself.  Please keep the noise down.",
69742,39519843,"Cozy, ideal live-work space in the heart of LES!",76164060297,verified,Alejandra,Manhattan,Lower East Side,40.71819,-73.99136,United States,US,TRUE,flexible,Entire home/apt,2004,$650 ,$130 ,5,56,07-06-2019,0.79,4,1,263,,
88884,50091969,New Development Prime Soho 2 Bedroom Apartment,19508505098,unconfirmed,Kara,Manhattan,SoHo,40.7249,-74.00105,United States,US,TRUE,moderate,Entire home/apt,2007,$653 ,$131 ,30,0,,,4,121,249,Please respect the residents of the building by keeping noise down.,
70714,40056678,Renovated 2 Bedroom (Hells Kitchen) TIME SQUARE,10243580423,unconfirmed,Ty,Manhattan,Hell's Kitchen,40.76248,-73.98597,United States,US,FALSE,moderate,Entire home/apt,2003,$509 ,$102 ,3,108,6/22/2019,1.51,3,2,351,,
92043,51836685,Sunny & Spacious Room Facing Central Park,74854101680,verified,Christina,Manhattan,Upper West Side,40.79806,-73.96085,United States,US,FALSE,flexible,Private room,2012,"$1,078 ",$216 ,2,5,05-01-2017,0.18,3,1,0,"This is our home, so please treat it kindly and respect our personal property.",
37768,21860602,Private Bedroom in stylish Artists Loft,96884047677,unconfirmed,Daniela,Brooklyn,Columbia St,40.68784,-74.00242,United States,US,FALSE,moderate,Private room,2017,$395 ,$79 ,1,0,,,4,1,89,Check In time :    3 pm Check out time : 12 pm quiet enjoyment No pets Nonsmoking No more than 4 people staying at the apartment unless disclosed and approved Extra person charge $75 per night Please be neat treat it like you would your home,
44982,25844895,Nobel Expereices -  Central Park & Carnegie Hall,95571505418,verified,Park Central,Manhattan,Midtown,40.76581,-73.9835,United States,US,FALSE,strict,Private room,2003,$917 ,$183 ,1,0,,,2,8,309,,
68460,38811794,Brooklyn Palace,95890436470,verified,Audra,Brooklyn,Flatlands,40.61802,-73.92866,United States,US,FALSE,flexible,Private room,2017,$100 ,$20 ,2,13,5/31/2019,0.59,4,1,292,,
20235,12177127,Cozy Bedroom in Centrally Located Apartment,67524840561,unconfirmed,Annie,Brooklyn,Williamsburg,40.7142,-73.96408,United States,US,FALSE,moderate,Private room,2021,$204 ,$41 ,3,21,09-11-2018,0.72,2,1,0,,
19614,11834148,Room w/ Private Balcony River View,4372882267,verified,Crystal,Manhattan,Tribeca,40.71916,-74.01177,United States,US,FALSE,moderate,Private room,2022,$244 ,$49 ,1,22,8/18/2017,0.68,3,2,0,"•Please do not have pets in the house •Please do not smoke anywhere on the premises •Please lock and shutter living room windows when leaving the house for safety reasons •Please check out at the time I asked you by email •Please do not access the office on the top floor or the basement •Please leave the house as tidy as you found it •Turn off A/C, grill, oven, appliances when not using them •Keep the gate in front closed (so next door dog does not escape) •Please do not have large parties or extra people to sleep over •Please do not open the windows in the dining room and be careful of the windows in the baby’s room and the yellow room on the top floor (old windows that can fall down or delicate set up for A/C) •Refrain from eating or drinking dark liquids/foods on the white couches",
74956,42399535,Furnished room in Manhattan Apt!,25951878706,unconfirmed,Marisa,Manhattan,Kips Bay,40.74068,-73.97848,United States,US,TRUE,moderate,Private room,2012,$935 ,$187 ,30,0,,,2,1,83,,
36801,21326528,Charming Studio in the Heart of Greenwich Village,28588805849,verified,Savanna,Manhattan,West Village,40.73079,-74.00268,United States,US,TRUE,strict,Entire home/apt,2006,$148 ,$30 ,2,10,06-11-2019,1.16,5,1,3,,
100176,56328541,The Coziest Bedroom of The Upper West Side,13586699473,unconfirmed,Larissa,Manhattan,Upper West Side,40.8013,-73.96669,United States,US,TRUE,flexible,Private room,2018,"$1,095 ",$219 ,7,14,5/18/2019,0.51,4,1,0,,
40597,23423059,Great clean quiet bedroom - half a block to R Line,55515829492,unconfirmed,Kin,Brooklyn,Sunset Park,40.64303,-74.014,United States,US,FALSE,moderate,Private room,2014,$751 ,$150 ,1,3,6/17/2019,1.48,5,3,155,,
54445,31071310,Water View King Bed Hotel Room,71378303610,unconfirmed,Justin,Manhattan,Financial District,40.70614,-74.00369,United States,US,FALSE,strict,Private room,2006,$176 ,$35 ,1,23,2/13/2022,1.45,2,102,21,,
3852,3128796,Huge 2 bed 2 bath Apartment!,16646450335,verified,Helena,Brooklyn,Prospect-Lefferts Gardens,40.65747,-73.95798,United States,US,TRUE,flexible,Entire home/apt,2016,"$1,180 ",$236 ,5,7,08-01-2017,0.11,2,1,334,No smoking please. Sorry but no pets. No drinking to excess. No drugs. No children or guests under 21. ,
71490,40485263,"Affordable, quiet, brownstone home",61802558130,unconfirmed,Luke,Brooklyn,Bedford-Stuyvesant,40.68148,-73.93145,United States,US,TRUE,strict,Private room,2013,$886 ,$177 ,1,0,,,4,1,0,,
73021,41330834,Private room & bathroom in the sky,64979139915,verified,Evan,Manhattan,Midtown,40.74576,-73.98146,United States,US,FALSE,strict,Private room,2003,$261 ,$52 ,2,150,10/21/2018,3.32,5,1,0,,
88077,49646263,ONLY 4.5 MILES TO MANHATTAN,7895125433,unconfirmed,Charles,Queens,Maspeth,40.72211,-73.90905,United States,US,FALSE,strict,Entire home/apt,2006,$556 ,$111 ,2,113,06-11-2019,3.18,2,3,293,"-Remove shoes -be sure to lock the front door when entering or leaving the house -be reasonably quiet during sleeping hours - clean up after yourself in common areas like kitchen and bathroom -Good communication is key - No pets  -No smoking -There may be other guests staying and you will be sharing the bathroom with the host and one other guest. is a friendly house hold, reasonably quiet. We expect guests to be reasonably quiet coming in and out before (9AM and after 10PM. Kindly remove your shoes as well.  For safety reasons please do not invite other people to our place.  For summer months, there will be an AC unit provided. PLEASE keep doors and windows closed whenever you are using the AC. Otherwise please shut the AC off, if you want to open the windows and doors. This is for your comfort, as the AC unit will only cool the room if the doors and windows are shut.  Ask if you need anything, I will be providing you with towels, shampoo, conditioner, body wash, lotion, hair dryer. Se",
96462,54277299,Private room in Williamsburg Brooklyn,24616187503,unconfirmed,David,Brooklyn,Williamsburg,40.71142,-73.96141,United States,US,FALSE,flexible,Private room,2021,$600 ,$120 ,5,1,8/14/2018,0.09,2,1,0,,
88823,50058279,Cozy Private Room for Eager Travelers! :D,78891122017,verified,Russell,Brooklyn,Prospect-Lefferts Gardens,40.65916,-73.95074,United States,US,TRUE,flexible,Private room,2010,$420 ,$84 ,3,169,07-02-2019,4.98,5,1,136,"*Please share with other guests in your reservation. Thanks!* [Security]  Unless otherwise specified, building and apartment access is for reserved guests only. Lock doors when coming and going; keep keys and windows secure.  [Courtesy]  Be mindful of neighbors. No smoking in/around the property. No shoes in the apartment. Pick up after yourself. [Be Green]  Turn off lights, electronics and faucets when not in use. Recycling bin (paper, plastic, glass, aluminum) and reusable shopping bags are in the pantry.  [Communicate]  Please tell me right away if you feel you're having less than a 5-star experience. So many of my trips were made better by caring, thoughtful hosts; it would make me happy to do the same for you.",
35679,20706848,Williamsburg Cozy Room 10 minutes from Manhattan.,75307569370,unconfirmed,Isaura,Brooklyn,Williamsburg,40.70874,-73.95237,United States,US,FALSE,moderate,Private room,2007,$146 ,$29 ,5,24,6/17/2019,2.48,3,1,7,,
68026,38572096,Modern Apartment in Prime North Williamsburg,86231892310,unconfirmed,Jasmine,Brooklyn,Greenpoint,40.71918,-73.94963,United States,US,TRUE,moderate,Private room,2003,"$1,085 ",$217 ,2,5,03-08-2020,0.18,3,2,0,,
